time,hamstrings_r,bifemsh_r,glut_max_r,iliopsoas_r,rect_fem_r,vasti_r,gastroc_r,soleus_r,tib_ant_r,hamstrings_l,bifemsh_l,glut_max_l,iliopsoas_l,rect_fem_l,vasti_l,gastroc_l,soleus_l,tib_ant_l
0.01,0.0008024129404418173,0.000802128719570605,0.0008022706213404089,0.000802764378952486,0.0008027986903316893,0.0008029365059442743,0.0008023283288749028,0.0008024204914749368,0.0008023382140666473,0.0008024120362244074,0.0008023411987544962,0.0008023797298980041,0.000802415918662915,0.0008024045528142556,0.0008024118562985271,0.0008024152670889804,0.0008024182375586357,0.0008024765771627454
0.060000000000000005,0.019797057908173262,0.01979587598744997,0.019795147477164675,0.01979678924003158,0.019797383452562396,0.0197973999665304,0.019796552400401037,0.019797261858245416,0.019796985414247455,0.01979723504771298,0.01979700944945086,0.0197970321518443,0.01979668647594517,0.019796762738827432,0.019796715613915508,0.019796700440048606,0.019796726684672788,0.019796721482663027
0.11,0.003992071105485585,0.003992179653079064,0.003992088141095087,0.003992007806995437,0.003991944959142959,0.003992047037075313,0.003992179579043117,0.003992179628297395,0.003992049337385762,0.003990525052028687,0.003990774681261339,0.003990943377296437,0.00399217922014199,0.003992179684797899,0.003992179508612949,0.003992104781297191,0.003992077457676079,0.0039920416181164695
0.16000000000000003,0.0017884765778283,0.0017884765778419423,0.0017884765778359282,0.0017884765778616292,0.0017884765778952846,0.0017884765778898924,0.0017884765778413405,0.0017884765778130468,0.001788476577820966,0.0017884765778692455,0.0017884765779411845,0.0017884765778451554,0.001788476577874401,0.0017884765778729335,0.0017884765779345125,0.0017884765778441955,0.0017884765778563522,0.0017884765779264417
0.21000000000000002,0.0001599998123647192,0.00016000046814984367,0.0001600000658782718,0.00015998525108596722,0.0001599960870925463,0.00015999848913251087,0.00016000037977691848,0.00015999983588481915,0.0001600011659531536,0.0001599996307961603,0.00015999896916165065,0.00015999947054549682,0.00015999948702201874,0.00015999932466490054,0.00015999962783139183,0.00015999963793939708,0.0001599997021588776,0.00015999959605122338
0.26,0.00890482760350675,0.00890435231608556,0.008904741237435078,0.008905085332289184,0.00890660150333275,0.008904684892817741,0.008904719168717252,0.00890450396634086,0.00890480066221901,0.008904255723271892,0.008904697526964173,0.008904620258510278,0.008904556790217092,0.008904354281242071,0.008904580340608067,0.00890459959840519,0.008904716009158764,0.008904656589864215
0.31000000000000005,0.0013706598827455448,0.0013705603996193568,0.0013705124931715539,0.0013719965909759597,0.0013698826810425173,0.0013709367811352334,0.001369467181106818,0.0013705137367672128,0.0013706294528959707,0.0013706524977666105,0.0013704710049266622,0.0013706584341476096,0.001370590444282541,0.0013705791465817856,0.0013705825159651673,0.0013705839475925512,0.0013705817511492423,0.0013706073310733732
0.36000000000000004,0.00890387266524276,0.008904179570979946,0.008903865633816245,0.008904184971229162,0.008904161877178992,0.008904175647636414,0.008903872490869874,0.008904175208210423,0.00890418565931871,0.008904185189084594,0.008904170029748623,0.008904182280285184,0.00887919510675996,0.008904153834248163,0.008904156592314855,0.008904184611271463,0.008904178960402236,0.008904183036316059
0.41000000000000003,0.000358331891595823,0.00035840313851265423,0.0003582876237600681,0.000358325295042896,0.00035828961495925824,0.0003585020103320986,0.00035839257552927075,0.0003583279350448767,0.00035841569650484013,0.00035833438143478916,0.0003583448131637985,0.0003582951178325355,0.0003583287221479802,0.0003583202491582119,0.0003583369411462091,0.0003582832750675153,0.00035833245541148196,0.0003583401558794952
0.46,3.2008318054411397e-05,3.1991490515869736e-05,3.2008327811325586e-05,3.199171165712652e-05,3.197839612114323e-05,3.1991511151294034e-05,3.200799144377063e-05,3.20083329391156e-05,3.2008328131413475e-05,3.200834390405108e-05,3.200832494537413e-05,3.200829894857595e-05,3.200831639046642e-05,3.2008314221042214e-05,3.200833000959488e-05,3.2008328691526575e-05,3.200831479858541e-05,3.200835408945715e-05
0.51,0.0050189220182462,0.0050189220167245665,0.005018922018428554,0.005018922018226759,0.005018922017866749,0.005018922018269874,0.005018922018192069,0.005018922017971405,0.0050189220185203175,0.005018922018372608,0.005018922018115138,0.005018922018134758,0.005018922018282744,0.005018922018262696,0.005018922017598171,0.005018922017681955,0.005018922017821094,0.005018922018087981
0.56,0.043809797760276215,0.043809797760794494,0.04380979776145042,0.043809797757343144,0.04380979775771869,0.04380979776003511,0.04380979777116412,0.04380979775581543,0.04380979776030214,0.04380979777057417,0.04380979776022011,0.04380979775602824,0.04380979776074943,0.0438097977561849,0.043809797760243546,0.04380979775981834,0.04380979767296799,0.0438097977026856
0.6100000000000001,3.421955955002002e-05,3.4218709155308196e-05,3.422162026143746e-05,2.999975603103886e-05,3.418657211910329e-05,3.422089273441914e-05,3.422112037495014e-05,3.422184471431788e-05,3.421980304798001e-05,3.422123400057292e-05,3.422142697262935e-05,3.421994996860641e-05,3.4220586210119754e-05,3.422081077003148e-05,3.422095744636455e-05,3.4220497030981315e-05,3.422092514823151e-05,3.422141960758117e-05
